Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
La milla verde,Stephen King,"",9789708101363,paperback,to-read,2021/05/03,"","",0,"",,,,,,,,,"",,"",No
Elevation,Stephen King,"",9781982102319,hardcover,read,2021/05/03,2021/07/13,2021/07/13,1,"",,,,,,,3.0,,"",,"",No
La Casa de Hades,Rick Riordan,Ignacio Gómez Calvo (Translator),9788490430910,hardcover,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
Si Te Gusta La Oscuridad,Stephen King,"",9798890981622,,to-read,2024/07/03,"","",0,"",,,,,,,,,"",,"",No
Arcanum ilimitado. La colección del Cosmere,Brandon Sanderson,"Manu Viciano (Translator), Rafael Marín Trechera (Translator), Manuel de los Reyes (Translator)",9788490698648,digital,to-read,2024/05/25,"","",0,"",,,,,,,,,"",,"",No
The Fifth to Die,J.D. Barker,"",9780544980662,digital,to-read,2024/09/21,"","",0,"",,,,,,,,,"",,"",No
El Hijo de Neptuno,Rick Riordan,Ignacio Gómez Calvo (Translator),9788415580713,hardcover,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
Cementerio de animales,Stephen King,Ana María de la Fuente (Translator),9788497930994,paperback,read,2021/05/03,2021/11/07,2021/11/07,1,"",,,,,,,5.0,,"",,"",No
Harry Potter y la cámara secreta,J.K. Rowling,"Nieves Martín Azofra, Adolfo Muñoz García",9788498386325,paperback,read,2021/05/03,2021/05/03,2021/05/03,1,"",,,,,,,2.0,,"",,"",No
Edgedancer,Brandon Sanderson,"",9781250166548,hardcover,read,2025/02/12,2025/04/21,2025/04/19-2025/04/21,1,"",,"","","","","",4.0,"","","","",No
El pozo de la ascensión,Brandon Sanderson,Rafael Marín Trechera (Translator),9788466637831,paperback,read,2022/11/07,2024/05/03,2024/05/03,1,"",,,,,,,4.0,,"",,"",No
Palabras radiantes ,Brandon Sanderson,Rafael Martín Trechera (Translator),9788466657549,hardcover,read,2024/09/18,2025/03/03,2025/02/06-2025/03/03,1,"",,"","","","","",5.0,"","","","",No
El juego de Gerald,Stephen King,María Vidal (Translator),9788497931328,paperback,to-read,2021/05/09,"","",0,"",,,,,,,,,"",,"",No
Estelar,Brandon Sanderson,Manu Viciano (Translator),9788417347765,digital,to-read,2024/05/27,"","",0,"",,,,,,,,,"",,"",No
El Hobbit,J.R.R. Tolkien,"",9789505470631,paperback,read,2021/08/17,2024/05/22,2024/05/22,1,"",,,,,,,1.0,,"",,"",No
Chapterhouse: Dune,Frank Herbert,"",9780593098271,paperback,to-read,2022/01/06,"","",0,"",,,,,,,,,"",,"",No
Dune,Frank Herbert,"",9780593099322,hardcover,to-read,2022/01/06,"","",0,"",,,,,,,,,"",,"",No
El Barco de los Muertos,Rick Riordan,"",9788490438244,hardcover,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
Juramentada,Brandon Sanderson,Manuel Viciano Delibano (Translator),9788417347154,digital,read,2024/09/18,2025/06/05,2025/04/22-2025/06/05,1,"",,"","","","","",5.0,"","","","",No
El misterio de Salem's Lot,Stephen King,"",9788466370707,paperback,to-read,2024/07/03,"","",0,"",,,,,,,,,"",,"",No
Doctor sueño,Stephen King,José Óscar Hernández Sendín (Translator),9788401354809,hardcover,to-read,2021/05/26,"","",0,"",,,,,,,,,"",,"",No
A Deadly Education,Naomi Novik,"",9780593128480,hardcover,to-read,2025/06/02,"","",0,"",,,,,,,,,"",,"",No
Wind and Truth,Brandon Sanderson,"",9781399601313,hardcover,to-read,2025/02/12,"","",0,"",,,,,,,,,"",,"",No
Heretics of Dune,Frank Herbert,"",9780593098264,paperback,to-read,2022/01/06,"","",0,"",,,,,,,,,"",,"",No
La sangre del Olimpo,Rick Riordan,"",9789873820045,paperback,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
El metal perdido,Brandon Sanderson,"Marc Simonetti (Illustrator), Manu Viciano (Translator)",9788418037733,hardcover,read,2024/05/25,2024/12/03,2024/12/03,1,"",,,,,,,4.0,,"",,"",No
Aleación de ley,Brandon Sanderson,Rafael Marín Trechera (Translator),9788466651752,paperback,read,2024/05/25,2024/06/02,2024/06/02,1,"",,,,,,,5.0,,"",,"",No
La expedición,"Stephen King, Francisco Blanco","",9789875660533,paperback,read,2021/05/03,2021/05/29,2021/05/29,1,"",,,,,,,2.0,,"",,"",No
La quinta ola,Rick Yancey,Pilar Ramírez Tello (Translator),9788427204225,paperback,to-read,2022/05/01,"","",0,"",,,,,,,,,"",,"",No
El hombre de tiza,C.J. Tudor,"",9786073166461,paperback,read,2024/05/11,2024/05/28,2024/05/28,1,"",,,,,,,4.0,,"",,"",No
The Hope of Elantris,Brandon Sanderson,"","",digital,to-read,2025/02/12,"","",0,"",,,,,,,,,"",,"",No
El Ladrón del Rayo,Rick Riordan,Libertad Aguilera Ballester (Translator),9788498386264,paperback,read,2021/05/26,2021/10/11,2021/10/11,1,"",,,,,,,3.0,,"",,"",No
God Emperor of Dune,Frank Herbert,"",9780593098257,paperback,to-read,2022/01/06,"","",0,"",,,,,,,,,"",,"",No
The Frugal Wizard's Handbook for Surviving Medieval England,Brandon Sanderson,Steve Argyle (Illustrator),9781250899675,hardcover,to-read,2025/02/12,"","",0,"",,,,,,,,,"",,"",No
Joyland,Stephen King,"",9781781162644,paperback,read,2021/05/03,2021/06/12,2021/06/12,1,"",,,,,,,5.0,,"",,"",No
El Oráculo Oculto,Rick Riordan,"",9780525433330,paperback,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
Harry Potter y las reliquias de la muerte,J.K. Rowling,Gemma Rovira Ortega (Translator),9788498381450,hardcover,read,2021/05/03,2021/09/19,2021/09/19,1,"",,,,,,,5.0,,"",,"",No
La batalla del laberinto,Rick Riordan,Santiago del Rey (Translator),9788498382525,paperback,to-read,2021/05/26,"","",0,"",,,,,,,,,"",,"",No
Los nueve mundos,"Ignacio Gómez Calvo, Rick Riordan","",9788418038372,digital,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
Misery,Stephen King,"",9780450417399,paperback,read,2021/05/03,2022/03/28,2022/03/28,1,"",,,,,,,4.0,,"",,"",No
En llamas,Suzanne Collins,"","",paperback,read,2021/05/03,2021/05/03,2021/05/03,2,"",,,,,,,3.0,,"",,"",No
Desafiante,Brandon Sanderson,"",9788419260000,paperback,to-read,2024/05/27,"","",0,"",,,,,,,,,"",,"",No
Sombras de identidad,Brandon Sanderson,Manuel de los Reyes (Translator),9788490708293,paperback,read,2024/05/25,2024/06/13,2024/06/13,1,"",,,,,,,4.0,,"",,"",No
La larga marcha,"Stephen King, Richard Bachman","",9786073118460,paperback,read,2021/05/03,2021/05/21,2021/05/21,1,"",,,,,,,4.0,,"",,"",No
La Torre de Nerón / The Tower of Nero,Rick Riordan,"",9788418038938,hardcover,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
La niebla,Stephen King,"",9786073113823,paperback,read,2021/05/03,2025/04/05,2025/04/05,1,"",,"","","","","",4.0,"","","","",No
El mar infinito,Rick Yancey,"",9788427208278,paperback,to-read,2022/05/01,"","",0,"",,,,,,,,,"",,"",No
El fugitivo,Stephen King,Hernán Sabaté (Translator),8447333558,hardcover,read,2023/03/07,2023/04/08,2023/04/08,1,"",,,,,,,5.0,,"",,"",No
El Héroe Perdido,Rick Riordan,Ignacio Gómez Calvo (Translator),9788415580492,hardcover,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
El ritmo de la guerra,Brandon Sanderson,"Manu Viciano (Translator), Antonio Torrubia (Translator)",8417347933,hardcover,to-read,2024/09/18,"","",0,"",,,,,,,,,"",,"",No
Diez negritos,Agatha Christie,Orestes Llorens (Translator),9789871144488,paperback,read,2022/03/23,2022/04/28,2022/04/28,1,"",,,,,,,3.0,,"",,"",No
La maldición del titán,Rick Riordan,Santiago del Rey (Translator),9788498382921,paperback,to-read,2021/05/26,"","",0,"",,,,,,,,,"",,"",No
Divergente,Veronica Roth,Pilar Ramírez Tello (Translator),9788427201187,paperback,to-read,2021/05/26,"","",0,"",,,,,,,,,"",,"",No
Leal,Veronica Roth,"",9788427206861,paperback,to-read,2021/05/26,"","",0,"",,,,,,,,,"",,"",No
